utterance_id,source,target
0-SNG02022,u-30,s-57
1-SNG02022,s-57,u-46
2-SNG02022,u-46,s-45
0-SNG01863,u-9,s-9
1-SNG01863,s-9,u-6
2-SNG01863,u-6,s-10
3-SNG01863,s-10,u-8
4-SNG01863,u-8,s-0
5-SNG01863,s-0,u-56
6-SNG01863,u-56,s-67
7-SNG01863,s-67,u-46
8-SNG01863,u-46,s-46
0-PMUL3490,u-28,s-9
1-PMUL3490,s-9,u-20
2-PMUL3490,u-20,s-24
3-PMUL3490,s-24,u-11
4-PMUL3490,u-11,s-4
5-PMUL3490,s-4,u-0
6-PMUL3490,u-0,s-74
7-PMUL3490,s-74,u-56
8-PMUL3490,u-56,s-55
9-PMUL3490,s-55,u-9
10-PMUL3490,u-9,s-11
11-PMUL3490,s-11,u-8
12-PMUL3490,u-8,s-10
13-PMUL3490,s-10,u-7
14-PMUL3490,u-7,s-1
15-PMUL3490,s-1,u-47
16-PMUL3490,u-47,s-37
17-PMUL3490,s-37,u-52
18-PMUL3490,u-52,s-38
19-PMUL3490,s-38,u-47
20-PMUL3490,u-47,s-33
0-SSNG0200,u-25,s-52
1-SSNG0200,s-52,u-11
2-SSNG0200,u-11,s-23
3-SSNG0200,s-23,u-25
4-SSNG0200,u-25,s-23
5-SSNG0200,s-23,u-61
6-SSNG0200,u-61,s-3
7-SSNG0200,s-3,u-46
8-SSNG0200,u-46,s-41
0-SNG0028,u-9,s-8
1-SNG0028,s-8,u-9
2-SNG0028,u-9,s-0
3-SNG0028,s-0,u-47
4-SNG0028,u-47,s-41
0-PMUL0388,u-25,s-23
1-PMUL0388,s-23,u-38
2-PMUL0388,u-38,s-52
3-PMUL0388,s-52,u-14
4-PMUL0388,u-14,s-28
5-PMUL0388,s-28,u-17
6-PMUL0388,u-17,s-72
7-PMUL0388,s-72,u-14
8-PMUL0388,u-14,s-69
9-PMUL0388,s-69,u-38
10-PMUL0388,u-38,s-68
11-PMUL0388,s-68,u-17
12-PMUL0388,u-17,s-68
13-PMUL0388,s-68,u-5
14-PMUL0388,u-5,s-14
15-PMUL0388,s-14,u-11
16-PMUL0388,u-11,s-16
17-PMUL0388,s-16,u-11
18-PMUL0388,u-11,s-3
19-PMUL0388,s-3,u-47
20-PMUL0388,u-47,s-41
0-SNG01971,u-25,s-23
1-SNG01971,s-23,u-61
2-SNG01971,u-61,s-3
3-SNG01971,s-3,u-61
4-SNG01971,u-61,s-40
0-MUL2198,u-0,s-6
1-MUL2198,s-6,u-0
2-MUL2198,u-0,s-20
3-MUL2198,s-20,u-61
4-MUL2198,u-61,s-3
5-MUL2198,s-3,u-14
6-MUL2198,u-14,s-29
7-MUL2198,s-29,u-41
8-MUL2198,u-41,s-22
9-MUL2198,s-22,u-12
10-MUL2198,u-12,s-10
11-MUL2198,s-10,u-13
12-MUL2198,u-13,s-14
13-MUL2198,s-14,u-56
14-MUL2198,u-56,s-54
15-MUL2198,s-54,u-47
16-MUL2198,u-47,s-41
0-SNG0191,u-30,s-52
1-SNG0191,s-52,u-56
2-SNG0191,u-56,s-52
0-PMUL4020,u-0,s-71
1-PMUL4020,s-71,u-42
2-PMUL4020,u-42,s-75
3-PMUL4020,s-75,u-56
4-PMUL4020,u-56,s-59
5-PMUL4020,s-59,u-0
6-PMUL4020,u-0,s-72
7-PMUL4020,s-72,u-0
8-PMUL4020,u-0,s-17
9-PMUL4020,s-17,u-40
10-PMUL4020,u-40,s-5
11-PMUL4020,s-5,u-47
12-PMUL4020,u-47,s-36
0-SNG01336,u-9,s-12
1-SNG01336,s-12,u-7
2-SNG01336,u-7,s-1
3-SNG01336,s-1,u-47
4-SNG01336,u-47,s-22
5-SNG01336,s-22,u-9
6-SNG01336,u-9,s-66
7-SNG01336,s-66,u-47
8-SNG01336,u-47,s-1
9-SNG01336,s-1,u-47
10-SNG01336,u-47,s-65
